effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model
fixed,(Intercept),5.700949034760521,0.4604576011847007,12.381050980791025,190.1706365605809,3.3310403929351943e-26,4.7926886634140455,6.609209406106997,hadsa_main
fixed,CYCLE2,-0.5281949406452616,0.42452996162855855,-1.244187662559856,839.586957881919,0.21377773316530335,-1.3614595961306928,0.30506971484016954,hadsa_main
fixed,CYCLE3,-0.5115973796514229,0.4365512941475225,-1.1719066843002883,756.4196617781707,0.24160349914157908,-1.3685934548356788,0.345398695532833,hadsa_main
fixed,MONTH.L,-1.0416212884172833,0.36001626646275336,-2.893261736897234,765.3274355971157,0.003920914270440393,-1.7483578771657398,-0.33488469966882684,hadsa_main
fixed,MONTH.Q,0.762477924492592,0.3593335589725446,2.1219223906410876,756.1868443549116,0.03416881075518314,0.05706803155377271,1.4678878174314112,hadsa_main
fixed,MONTH.C,0.2851131570241583,0.3588349941871089,0.7945522639731466,756.4765207350571,0.42712318893604906,-0.41931756792655994,0.9895438819748765,hadsa_main
fixed,MONTH^4,-0.043526642037845,0.36027595842294363,-0.12081472832208022,756.7999383040989,0.9038698519067795,-0.7507856465560034,0.6637323624803135,hadsa_main
fixed,(Intercept),5.193998391719524,0.4648748045851738,11.172897176809432,121.31901894695152,2.3119028938631142e-20,4.2736805419013475,6.114316241537701,hadsd_main
fixed,CYCLE2,0.32611759706037696,0.2732023833498783,1.19368503693737,794.8667284894915,0.2329573267914965,-0.21016582624873498,0.862401020369489,hadsd_main
fixed,CYCLE3,0.5371084937607286,0.2711854463397324,1.9805948328357426,755.3488395183651,0.04799911082391776,0.004741749499713399,1.0694752380217438,hadsd_main
fixed,MONTH.L,-0.8937488239196041,0.2243670718448231,-3.9834224183205422,760.6165001552461,7.445581508823645e-5,-1.3342010738382657,-0.4532965740009424,hadsd_main
fixed,MONTH.Q,0.5907291065351497,0.2232280824313647,2.6463028311716985,755.5565675993683,0.008307036997421285,0.1525081155500107,1.0289500975202885,hadsd_main
fixed,MONTH.C,-0.30673659599843006,0.22294125052447533,-1.3758629023423163,755.724482725678,0.16927168616778518,-0.7443943487507184,0.1309211567538583,hadsd_main
fixed,MONTH^4,0.23873260942501892,0.22386228555280668,1.0664262130420556,755.9138647673499,0.2865714990067172,-0.20073305795074084,0.6781982768007787,hadsd_main
