variable,n_na,n,pct_na
Antiipnt,166,179,92.73743016759776
Aura,164,179,91.62011173184358
Hypertension,160,179,89.3854748603352
Psycopathological,148,179,82.68156424581005
Sleep_Disorders,144,179,80.44692737430168
SSRISNRI,125,179,69.83240223463687
DETOXPRE,124,179,69.27374301675978
BMI,102,179,56.98324022346369
HEIGTH,101,179,56.42458100558659
FAMILIARITY,94,179,52.513966480446925
PAIN_MOVMENT,94,179,52.513966480446925
WEIGTH,93,179,51.95530726256983
SIDE,93,179,51.95530726256983
PULSATING,93,179,51.95530726256983
Botulin,92,179,51.39664804469274
Caant,88,179,49.16201117318436
Bbloc,85,179,47.486033519553075
Tricyclic,76,179,42.45810055865922
T0_SYMPT_TREATMENT,71,179,39.66480446927374
Antiepil,71,179,39.66480446927374
Pizotifene,61,179,34.07821229050279
PREV_T0,50,179,27.932960893854748
HIT6_end,41,179,22.905027932960895
delta_HIT6,41,179,22.905027932960895
subj_resp,41,179,22.905027932960895
discordance,41,179,22.905027932960895
concordant,41,179,22.905027932960895
unhappy_responder,41,179,22.905027932960895
happy_nonresponder,41,179,22.905027932960895
profile_4,41,179,22.905027932960895
HIT6_start,39,179,21.787709497206706
INT_T0,39,179,21.787709497206706
AGE_OF_ONSET,11,179,6.145251396648045
AGE_W_CHRONICMIGRAINE,11,179,6.145251396648045
SUBJECT_ID,0,179,0
MMDs_start,0,179,0
end_month,0,179,0
MMDs_end,0,179,0
pct_change_MMDs,0,179,0
obj_resp,0,179,0
quadrant,0,179,0
AGE,0,179,0
SEX,0,179,0
DIAGNOSIS,0,179,0
Suspension,0,179,0
MONTHS_OF_TREAT,0,179,0
TREATMENT_DISC,0,179,0
NUM_TRAT,0,179,0
ANTIBODY,0,179,0
GGCEF_T0,0,179,0
